procedure_name_en,procedure_year,procedure_number,instance_date,actual_worth,procedure_area,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,area_id,area_name_en,actual_area,property_total_value,actual_area_missing
Property Evaluation,2015,4457,2015-09-06T00:00:00.000Z,3.5411614E7,2349.89,1,Land,62,Commercial,334,Al Jadaf,2349.89,3.5411614E7,false
Property Evaluation,2014,5149,2014-11-24T00:00:00.000Z,1154000.0,107.21,1,Land,63,Residential,233,Hor Al Anz,107.23,1154000.0,false
Property Evaluation,2016,3167,2016-06-16T00:00:00.000Z,1.0571398E7,1091.24,1,Land,63,Residential,317,Jumeirah First,1091.24,1.0571398E7,false
Property Evaluation,2016,3405,2016-06-29T00:00:00.000Z,604738.0,70.14,3,Unit,60,Flat,451,Al Hebiah Fifth,70.14,604738.0,false
Property Evaluation,2015,3804,2015-07-27T00:00:00.000Z,4.3E7,5716.79,1,Land,62,Commercial,317,Jumeirah First,5716.79,4.3E7,false
Property Evaluation,2015,1140,2015-03-23T00:00:00.000Z,7750000.0,1393.55,1,Land,63,Residential,313,Al Saffa First,1393.55,7750000.0,false
Property Evaluation,2015,2419,2015-06-02T00:00:00.000Z,2988300.0,925.41,1,Land,63,Residential,335,Nad Al Shiba First,925.41,2988300.0,false
Property Evaluation,2016,2337,2016-05-03T00:00:00.000Z,1351300.0,125.54,3,Unit,42,Office,350,Al Thanyah Fifth,125.54,1351300.0,false
Property Evaluation,2014,5298,2014-12-09T00:00:00.000Z,3500000.0,374.27,2,Building,4,Villa,352,Al Thanayah Fourth,374.27,3500000.0,false
Property Evaluation,2016,3124,2016-06-13T00:00:00.000Z,527431.0,49.0,3,Unit,60,Flat,284,Jabal Ali,49.0,527431.0,false
Property Evaluation,2015,2311,2015-05-28T00:00:00.000Z,2800000.0,415.31,2,Building,4,Villa,352,Al Thanayah Fourth,415.31,2800000.0,false
Property Evaluation,2014,5178,2014-11-26T00:00:00.000Z,4884100.0,266.91,3,Unit,60,Flat,390,Burj Khalifa,266.91,4884100.0,false
Property Evaluation,2016,2725,2016-05-22T00:00:00.000Z,472120.0,46.17,3,Unit,60,Flat,485,Me'Aisem First,46.17,472120.0,false
Property Evaluation,2015,2494,2015-06-03T00:00:00.000Z,3500000.0,696.77,1,Land,63,Residential,232,Mirdif,696.77,3500000.0,false
Property Evaluation,2015,5239,2015-10-22T00:00:00.000Z,5.5999972E7,1858.06,1,Land,34,General Use,278,Mankhool,1858.06,5.5999972E7,false
Property Evaluation,2016,4229,2016-08-17T00:00:00.000Z,1831413.0,106.34,3,Unit,60,Flat,410,Palm Jumeirah,106.34,1831413.0,false
Property Evaluation,2017,1252,2017-02-19T00:00:00.000Z,7231939.0,7465.22,1,Land,13,Clinic,395,Jabal Ali Industrial First,7465.22,7231939.0,false
Property Evaluation,2016,6859,2016-12-15T00:00:00.000Z,1.8931837E7,2512.61,1,Land,62,Commercial,441,Al Barsha South Fourth,2512.61,1.8931837E7,false
Property Evaluation,2017,1090,2017-02-13T00:00:00.000Z,4954084.0,184.1,3,Unit,60,Flat,390,Burj Khalifa,184.1,4954084.0,false
Property Evaluation,2017,3718,2017-06-11T00:00:00.000Z,3422196.0,1324.72,1,Land,1,Land,465,Wadi Al Safa 3,1324.73,3422196.0,false
Property Evaluation,2016,5899,2016-11-08T00:00:00.000Z,6884913.0,426.42,3,Unit,60,Flat,330,Marsa Dubai,426.42,6884913.0,false
Property Evaluation,2017,359,2017-01-16T00:00:00.000Z,1.4471396E7,2240.73,1,Land,65,Industrial,373,Al Goze Industrial Fourth,2240.73,1.4471396E7,false
Property Evaluation,2017,1362,2017-02-21T00:00:00.000Z,1743461.0,77.13,3,Unit,60,Flat,330,Marsa Dubai,77.13,1743461.0,false
Property Evaluation,2017,3536,2017-05-31T00:00:00.000Z,8480324.0,1964.71,1,Land,6,Labor Camp,395,Jabal Ali Industrial First,1964.71,8480324.0,false
Property Evaluation,2017,1422,2017-02-23T00:00:00.000Z,1.9900459E7,7395.26,1,Land,65,Industrial,264,Nad Al Hamar,7395.26,1.9900459E7,false
Property Evaluation,2017,4096,2017-06-18T00:00:00.000Z,452772.0,52.58,3,Unit,60,Flat,285,Nad Al Shiba,52.58,452772.0,false
Property Evaluation,2017,5362,2017-08-29T00:00:00.000Z,3.5797545E7,4157.13,1,Land,62,Commercial,320,Al Qusais Industrial Second,4157.13,3.5797545E7,false
Property Evaluation,2017,5284,2017-08-24T00:00:00.000Z,1481414.0,611.68,1,Land,63,Residential,445,Jabal Ali First,611.68,1481414.0,false
Property Evaluation,2016,4546,2016-08-30T00:00:00.000Z,3791045.0,176.1,3,Unit,60,Flat,334,Al Jadaf,176.1,3791045.0,false
Property Evaluation,2017,1199,2017-02-16T00:00:00.000Z,1453430.0,174.23,3,Unit,60,Flat,465,Wadi Al Safa 3,173.13,1453430.0,false
Property Evaluation,2017,285,2017-01-11T00:00:00.000Z,336679.0,44.62,3,Unit,60,Flat,343,Al Warsan First,44.62,336679.0,false
Property Evaluation,2017,659,2017-01-25T00:00:00.000Z,1.4702253E7,4017.31,1,Land,63,Residential,464,Wadi Al Safa 2,4017.31,1.4702253E7,false
